"name","value"
"Qid","guest5"
"Question","Haben wir die Möglichkeit unsere Daten besser zu sichern?"
"Quotayes","83.300003"
"Outlier","0"
"Outlierbounds1","40.0"
"Outlierbounds2","60.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","1"
"track_6","0"
"track_7","1"
"track_8","1"
"track_9","1"
