"name","value"
"Qid","guest4"
"Question","Hast du schon mal ein Fake Profil erstellt?"
"Quotayes","0.0"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","0"
"track_6","1"
"track_7","0"
"track_8","0"
"track_9","0"
"track_10","1"
"track_11","1"
"track_12","0"
"track_13","1"
"track_14","0"
"track_15","1"
"track_16","1"
"track_17","0"
"track_18","1"
"track_19","1"
"track_20","0"
"track_21","1"
"track_22","0"
"track_23","1"
"track_24","1"
"track_25","0"
"track_26","0"
"track_27","1"
"track_28","0"
"track_29","1"
"track_30","1"
"track_31","1"
"track_32","1"
