"name","value"
"Qid","guest4"
"Question","Hast du schon mal ein Fake Profil erstellt?"
"Quotayes","50.0"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","1"
"track_6","0"
"track_7","0"
"track_8","1"
"track_9","0"
"track_10","0"
"track_11","1"
"track_12","1"
"track_13","1"
"track_14","1"
"track_15","0"
"track_16","1"
"track_17","1"
"track_18","0"
"track_19","0"
"track_20","1"
"track_21","0"
"track_22","0"
"track_23","0"
"track_24","1"
"track_25","1"
"track_26","0"
"track_27","1"
