quater_1_1	quater_1_2	quater_1_3	quater_1_4	quater_2_1	quater_2_2	quater_2_3	quater_2_4	quater_3_1	quater_3_2	quater_3_3	quater_3_4	quater_4_1	quater_4_2	quater_4_3	quater_4_4	quater_5_1	quater_5_2	quater_5_3	quater_5_4	quater_6_1	quater_6_2	quater_6_3	quater_6_4	angle_1_x	angle_1_y	angle_1_z	angle_2_x	angle_2_y	angle_2_z	angle_3_x	angle_3_y	angle_3_z	angle_4_x	angle_4_y	angle_4_z	angle_5_x	angle_5_y	angle_5_z	angle_6_x	angle_6_y	angle_6_z	acc_1_x	acc_1_y	acc_1_z	acc_2_x	acc_2_y	acc_2_z	acc_3_x	acc_3_y	acc_3_z	acc_4_x	acc_4_y	acc_4_z	acc_5_x	acc_5_y	acc_5_z	acc_6_x	acc_6_y	acc_6_z	tx	ty	nx	ny	orientation_x	orientation_y	speed	sound_1	sound_2	sound_3	sound_4	sound_5	sound_6	sound_7	sound_8
0.1202612	-0.1178088	-0.1083043	-0.9797594	-0.07532517	0.361285	-0.1671027	-0.9142625	-0.4717811	0.08266852	0.6236427	0.617785	-0.6019978	-0.1330607	0.647904	-0.4473409	-0.02964968	-0.2215176	0.1388858	-0.9647599	0.3422883	-0.7634084	0.2089952	0.5063273	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.1013343	-0.1139217	-0.1106268	-0.9820972	-0.07269767	0.3608619	-0.1632158	-0.9153439	-0.4725892	0.08219649	0.623669	0.6172035	-0.6012488	-0.1331727	0.6484102	-0.4475814	-0.02986666	-0.2305885	0.1405403	-0.9623852	0.3425087	-0.7631477	0.2096443	0.5063029	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.1191003	-0.1155736	-0.1073449	-0.9802729	-0.0690253	0.3585626	-0.1610089	-0.9169212	-0.4725892	0.08219649	0.623669	0.6172035	-0.6012488	-0.1331727	0.6484102	-0.4475814	-0.02986666	-0.2305885	0.1405403	-0.9623852	0.3425087	-0.7631477	0.2096443	0.5063029	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.1191003	-0.1155736	-0.1073449	-0.9802729	-0.0690253	0.3585626	-0.1610089	-0.9169212	-0.4736534	0.08084843	0.6232311	0.6170081	-0.6008586	-0.1331924	0.6486366	-0.4477715	-0.03041167	-0.2307332	0.1418483	-0.9621416	0.3427017	-0.7628563	0.2100562	0.5064408	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.1191003	-0.1155736	-0.1073449	-0.9802729	-0.0690253	0.3585626	-0.1610089	-0.9169212	-0.4736534	0.08084843	0.6232311	0.6170081	-0.6008586	-0.1331924	0.6486366	-0.4477715	-0.03041167	-0.2307332	0.1418483	-0.9621416	0.3427017	-0.7628563	0.2100562	0.5064408	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.1036936	-0.1285395	-0.1027184	-0.9809048	-0.0690253	0.3585626	-0.1610089	-0.9169212	-0.4736534	0.08084843	0.6232311	0.6170081	-0.6008586	-0.1331924	0.6486366	-0.4477715	-0.03041167	-0.2307332	0.1418483	-0.9621416	0.3427017	-0.7628563	0.2100562	0.5064408	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.1036936	-0.1285395	-0.1027184	-0.9809048	-0.06791342	0.3589593	-0.1586317	-0.9172633	-0.4745383	0.07988005	0.6221399	0.6175553	-0.6005955	-0.1328937	0.6485461	-0.448344	-0.02787153	-0.2304571	0.1438006	-0.9619948	0.3430778	-0.7625582	0.210617	0.506402	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.1036936	-0.1285395	-0.1027184	-0.9809048	-0.06791342	0.3589593	-0.1586317	-0.9172633	-0.4745383	0.07988005	0.6221399	0.6175553	-0.6005955	-0.1328937	0.6485461	-0.448344	-0.02787153	-0.2304571	0.1438006	-0.9619948	0.3430778	-0.7625582	0.210617	0.506402	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.117695	-0.1176484	-0.0975589	-0.9812181	-0.06763688	0.3604271	-0.1612487	-0.9162513	-0.4749505	0.07913274	0.6213484	0.6181312	-0.6006048	-0.1327304	0.6483402	-0.4486775	-0.03112667	-0.2289501	0.1444703	-0.9621545	0.3434896	-0.7624989	0.211373	0.505897	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
0.117695	-0.1176484	-0.0975589	-0.9812181	-0.06763688	0.3604271	-0.1612487	-0.9162513	-0.4749505	0.07913274	0.6213484	0.6181312	-0.6006048	-0.1327304	0.6483402	-0.4486775	-0.03112667	-0.2289501	0.1444703	-0.9621545	0.3434896	-0.7624989	0.211373	0.505897	0	3.747832e-05	4.969809e-05	4.567627e-05	3.544372e-05	6.00453e-05	4.08929e-05	2.417118e-05
