quaternions_10	quaternions_11	quaternions_12	quaternions_13	angle_10	angle_11	angle_12	rotacc_1	speed	id	pos_x	pos_y	normalized_x	normalized_y	orientation_x	orientation_y	speed1	tracking	Pharusbin	Gyroid	comp_index	SOUND1	SOUND2	SOUND3	SOUND4	SOUND5	SOUND6	SOUND7	SOUND8
0.8080771	0.42454618	0.01572827	0.40811753	0.12577988	0.44798377	0.62507164	0.014369167	0.01436917	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80078125	0	0	0	0	0	0	0
0.80812085	0.42447048	0.015736848	0.40810266	0.12577866	0.44799668	0.6250509	0.014368514	0.014368515	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80078125	0	0	0	0	0	0	0
0.80820525	0.42431745	0.015688604	0.4080886	0.1257754	0.44800508	0.6249983	0.014374698	0.014374699	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80078125	0	0	0	0	0	0	0
0.8083025	0.4241407	0.015609718	0.4080761	0.1257707	0.44800878	0.6249335	0.014379804	0.014379805	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.80841076	0.4239312	0.015520922	0.4080782	0.12577158	0.44801268	0.62485474	0.014383516	0.014383516	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.8085332	0.42367896	0.015421621	0.40809736	0.1257792	0.44801754	0.62475896	0.014385116	0.014385115	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.8086771	0.42341483	0.015308455	0.4080834	0.12577455	0.44802445	0.624661	0.014387134	0.014387133	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.80884045	0.42314675	0.015198116	0.4080344	0.12575833	0.44803733	0.6245646	0.0143929655	0.0143929655	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.8090025	0.42288312	0.015096823	0.40798253	0.12574187	0.4480521	0.6244713	0.014401557	0.014401558	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.8092227	0.42249662	0.014951115	0.40793628	0.12572797	0.4480695	0.62433493	0.014403977	0.014403978	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.80966544	0.4216925	0.014641086	0.4078635	0.12570605	0.44809932	0.62405205	0.014399618	0.014399619	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.8099352	0.42116433	0.014395301	0.40784925	0.12569869	0.44810253	0.623863	0.014400126	0.014400126	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.81023973	0.42053092	0.014085993	0.40785986	0.1256978	0.4480984	0.6236357	0.01439805	0.01439805	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
